scenario,scenario_label,day_number,day,food_id,food_name,category,meal_slot,serving_description,servings,serving_g,cost_eur,prep_minutes,kcal,protein_g,carbs_g,fat_g,fibre_g
balanced,Balanced,1,Monday,oats,Oats,grain,breakfast,80 g dry,1,80.0,0.24,6.0,300.0,10.0,48.0,6.0,8.0
balanced,Balanced,1,Monday,banana,Banana,fruit,breakfast,1 medium,2,240.0,0.6,2.0,210.0,2.6,54.0,0.8,6.2
balanced,Balanced,1,Monday,peanut_butter,Peanut butter,spread,breakfast,30 g,1,30.0,0.2,1.0,184.0,7.5,4.2,15.5,2.1
balanced,Balanced,1,Monday,wholegrain_bread,Wholegrain bread,grain,lunch,2 slices,2,160.0,0.56,2.0,360.0,14.0,64.0,4.4,12.0
balanced,Balanced,1,Monday,beef_mince,Lean beef mince,meat,dinner,200 g raw,1,200.0,2.6,15.0,340.0,42.0,0.0,18.0,0.0
balanced,Balanced,1,Monday,rice,Rice,grain,dinner,100 g dry,2,200.0,0.44,24.0,720.0,14.0,158.0,1.4,2.6
balanced,Balanced,1,Monday,whey,Whey protein,supplement,snack,30 g scoop,1,30.0,0.75,1.0,120.0,24.0,3.0,2.0,0.0
balanced,Balanced,1,Monday,skyr,Skyr,dairy,snack,450 g tub,1,450.0,1.6,1.0,270.0,45.0,18.0,0.9,0.0
balanced,Balanced,2,Tuesday,oats,Oats,grain,breakfast,80 g dry,1,80.0,0.24,6.0,300.0,10.0,48.0,6.0,8.0
balanced,Balanced,2,Tuesday,milk,Semi-skimmed milk,dairy,breakfast,300 ml,1,300.0,0.38,1.0,141.0,10.2,14.7,4.5,0.0
balanced,Balanced,2,Tuesday,greek_yogurt,Greek yogurt 0%,dairy,breakfast,300 g,1,300.0,1.05,1.0,177.0,30.0,10.8,0.6,0.0
balanced,Balanced,2,Tuesday,banana,Banana,fruit,breakfast,1 medium,1,120.0,0.3,1.0,105.0,1.3,27.0,0.4,3.1
balanced,Balanced,2,Tuesday,peanut_butter,Peanut butter,spread,breakfast,30 g,1,30.0,0.2,1.0,184.0,7.5,4.2,15.5,2.1
